,angry,crawled_utctime,created_time,haha,id,like,love,message,owner_id,sad,type
0,8,2018-03-22 08:42:09.792771,2017-05-31 08:30:00+00:00,192,114731331886956_1810634775629928,427,5,"Khi Boác về thăm mẫu quốc ^^

st
Kili",114731331886956,2,video
1,6,2018-03-22 08:42:09.792771,2017-05-31 07:00:00+00:00,41,114731331886956_1810426172317455,5730,603,"TT Ngô Đình Diệm, Đệ Nhất Cộng Hòa Việt Nam sang thăm nước Mỹ năm 1957.

Fb Dung Dinh 

[K]",114731331886956,8,video
2,41,2018-03-22 08:42:09.792771,2017-05-31 06:00:00+00:00,68,114731331886956_1810419592318113,419,4,"Quảng Ninh chiều 29/5, phó giám đốc sở Văn Hoá hành hung nhân viên kế toán ngay trong phòng làm việc.

Hãi các quan xứ ta quá!

Nguồn VTC 

[K]",114731331886956,5,video
3,0,2018-03-22 08:42:09.792771,2017-05-31 04:58:00+00:00,10,114731331886956_1810418332318239,621,42,"23 tuổi, Lưu Thị Quyên, ở Hà Nội, sau 2 tháng vận động được 12.600 chữ ký cho bản kiến nghị gởi đến đại biểu Quốc hội Việt Nam

YÊU CẦU CÔNG KHAI DỰ THẢO NGÂN SÁCH NHÀ NƯỚC

Sáng kiến vận dụng nghệ thuật sáng tạo kết hợp với công nghệ thông tin để phát động các chiến dịch kêu gọi sự nhận thức của giới trẻ về các vấn đề từ sự minh bạch của chính phủ cho tới những thói quen gây nhiều tranh cãi hay những định kiến xã hội là thành quả sáng tạo của Lưu thị Quyên, một trong 10 tài năng lãnh đạo trẻ trên toàn cầu, được trao Giải thưởng lãnh đạo trẻ tiềm năng của Bộ Ngoại giao Hoa Kỳ hôm 4 tháng 5 tại Washington.

Mười lãnh đạo trẻ giàu tiềm năng này được Giải thưởng lãnh đạo trẻ mới nổi, một chương trình của Bộ Ngoại giao Mỹ khuyến khích người trẻ phát huy sáng kiến và tài năng lãnh đạo, chọn lựa ra từ hơn 100 nước trên khắp thế giới, căn cứ vào những thành quả sáng kiến của họ đã tác động tích cực và phục vụ cho lợi ích cộng đồng của họ như thế nào.

Ông Mark Taplin, Quyền Trợ lý Ngoại trưởng đặc trách Giáo dục và Văn hóa khen ngợi các lãnh đạo trẻ tại lễ trao giải thưởng:

""Mỗi nhà lãnh đạo trẻ này đã nhận ra những thách thức mà cộng đồng của họ đang đối diện, tìm ra một giải pháp thực tế, và rồi vận động nhiều người cùng giúp sức đối phó với những thách thức đó. Những giải pháp thực tế đó là kết hợp âm nhạc với nghệ thuật để hòa hợp những người khác tín ngưỡng với nhau, hay một video vận động cho sự minh bạch trong chính phủ, hay là một ứng dụng trên điện thoại (app) để cộng đồng phối hợp với nhau trong một mạng lưới chống tội phạm, cổ xúy cho sự dung chấp tôn giáo ... Các bạn trẻ được Giải thưởng lãnh đạo trẻ vinh danh hôm nay không chờ người khác giải quyết những thách thức đó cho họ, mà chính họ đã dấn thân vào tìm cách giải quyết, tự nhận lấy những rủi ro, và hy vọng mang lại những kết quả tích cực.

Lãnh đạo trẻ 23 tuổi Lưu Thị Quyên đến từ Hà Nội chia sẻ về một nhận thức sai lệch mà nhiều bạn trẻ vô tình không quan tâm đến có thể gây thiệt hại cho cộng đồng.

""Dự án của cháu bắt đầu bằng một cái hiểu lầm rất phổ biến ở giới trẻ, đó là các bạn thường nghĩ rằng ngân sách nhà nước là từ nhà nước ban phát cho mình, nghĩa là mình phải biết ơn nhà nước khi nhà nước cung cấp đường sá, công viên, bệnh viện … nhưng thực tế là hơn 90% ngân sách nhà nước là do tiền thuế của dân đóng…Mục đích lớn nhất của dự án này là thay đổi cái hiểu lầm này ở các bạn trẻ. Dự án của cháu còn có mục đích cải thiện chính sách của nhà nước, muốn nhà nước công khai dự thảo ngân sách nhà nước.""

Quyên cùng nhóm bạn trẻ đã ứng dụng nghệ thuật sáng tạo và công nghệ tin học để phát động chiến dịch vận động minh bạch ngân sách. Sau hai tháng cuộc vận động đã nhận được 12.600 chữ ký cho bản kiến nghị gởi đến đại biểu Quốc hội Việt Nam.

Được trao giải thưởng lãnh đạo trẻ tiềm năng, Quyên cảm thấy càng phải có trách nhiệm nhiều hơn phải đẩy nhanh việc đối phó với những thách thức ở cộng đồng của mình:

""Bắt đầu bằng một bức ảnh năm 2014, [trong đó] một chị nông dân ngồi cạnh một chậu cốm, trên tay chị cầm một chai nước màu xanh thẫm. Cư dân mạng liền nhảy vào chửi bới, thậm chí nói là ‘đầu độc cả một dân tộc Việt Nam.’ Nhưng sau đó thông tin đính chính đó chỉ là nước từ lá dứa.""

""Đó là một sự kiện rất đáng buồn. Thực ra cũng có nhiều sự kiện tương tự khác. Ví dụ như mại dâm, người ta chỉ cần căn cứ rằng xã hội coi đó là một cái việc băng hoại đạo đức, cho nên tôi sẽ phản đối nói bằng mọi cách. Hay như hôn nhân đồng tính chẳng hạn…""

""Bây giời mạng xã hội ở Việt Nam rất phổ biến. cho nên người ta lại càng được thúc đẩy đưa ra những quyết định, những phát ngôn nhanh chóng, trong nhiều trường hợp, họ đưa ra những phát ngôn dựa trên những sự hiểu lầm, làm tổn thương người bị chỉ trích, và về lâu về dài nó ảnh hưởng đối với chính người đưa ra phán xét đó, đó là nó sẽ tạo ra một cái lối nhìn rất nhiều định kiến…Đó là lý do tại sao nhóm của cháu từ năm 2014 bắt đầu làm các video về các vấn đề xã hội gây tranh cãi, và cố gắng cung cấp các khía cạnh của vấn đề, không bị thiên kiến, cố gắng tìm hiểu toàn bộ vấn đề. Khi mọi người có một cái nhìn đầy đủ về vấn đề, và mọi người quyết định như thế nào, thì đó là quyền của mỗi người.”

Mười lãnh đạo trẻ đoạt giải thưởng này sẽ đi thăm, giao tiếp và làm việc với các lãnh đạo trẻ tại các thành phố của Mỹ trong ba tuần lễ sắp tới. Bất chấp những thách thức thật to lớn ở cộng đồng của họ, các lãnh đạo trẻ đang hướng nhìn về một tương lai tươi trẻ và xán lạn ở châu lục mà họ lãnh đạo.

http://www.voatiengviet.com/a/van-dong-minh-bach-ngan-sach-luu-thi-quyen-doat-giai-lanh-dao-tre-my/3839464.html .S:",114731331886956,0,video
4,22,2018-03-22 08:42:09.792771,2017-05-31 03:15:00+00:00,302,114731331886956_1810429892317083,1363,69,"[LỬA KHÓI MÙ MỊT NHƯ ĐỊA NGỤC BỊ BỎ BOM]
NỔ LỚN TẠI FORMOSA HÀ TĨNH !

Vụ nổ xảy ra vào khoảng hơn 21 giờ tối ngày 30/5/2017. Người ta nghe được tiếng nổ rất lớn và thấy rõ khói bốc cao ở bên trong khu công nghiệp.
Một số báo mạng đưa tin sự cố đã xảy ra tại khu vận hành lò cao số 1 của Công ty Gang thép Hưng Nghiệp Formosa Hà Tĩnh. Cần chú ý là trước đó có 1 ngày, vào chiều ngày 29/5/2017, lò cao số 1 tại Formosa mới chính thức được nhà cầm quyền Việt Nam cho phép vận hành. Chỉ mới hơn 1 ngày trôi qua đã xảy ra sự cố!

Theo fb Hoang Sa Club",114731331886956,9,video
5,28,2018-03-22 08:42:09.792771,2017-05-29 20:51:12+00:00,268,114731331886956_1808823899144349,1360,34,"Mỗi lần lên phố hoạt động cho cách mạng chị đều hết sức cẩn thận nếu không muốn bị bọn mật thám và công sai thực dân phát hiện.

""Khi nhiệm vụ Đảng giao hoàn thành trót lọt mình vô cùng xúc động vì đã góp một phần nhỏ vào thắng lợi chung của toàn dân tộc""

Chị xúc động chia sẻ ...

FB Trịnh Việt Anh 
.S:",114731331886956,347,video
6,26,2018-03-22 08:42:09.792771,2017-05-29 03:32:56+00:00,177,114731331886956_1807990059227733,1676,24,"ĐẢNG ĐÃ CHO TA MỘT MÙA XUÂN.

Xe ta bon trên những dặm đường từ làng quê ta băng qua bao suối đèo đồi nương, mà xe ta bon ra chiến trường.

Xe ta bon bon đi trên đường lòng vui như mở hộ.

Đường quê em êm êm đưa như thoi dệt bao tâm tình.

Lững lờ đèn giặc dõi lửa soi để em đi thông đường.

Kìa gà rừng vẳng gáy cuối nương vượt đèo Ngang nào bạn ơi !

Tay lái ta dồn lên lời ca....HỠI CÔNG DÂN TRÊN ĐẤT NƯỚC MÌNH. 

Video: st
[Sky]",114731331886956,188,video
7,2,2018-03-22 08:42:09.792771,2017-05-28 13:58:00+00:00,17,114731331886956_1806252542734818,304,7,"Seminar 'Kiểm soát quyền lực nhà nước' 
do diễn giả GS. Nguyễn Đăng Dung, ĐH Quốc gia, 
trình bày tại British University Vietnam, 193 Bà Triệu, Hà Nội.

* Chuyện nhân quyền và kiểm soát quyền lực nhà nước được bàn công khai với sự kiểm soát có mức độ của an ninh cộng sản. Theo ad, điều đó cũng cho thấy xu hướng dân chủ hóa đất nước là không thể đảo ngược. Còn bạn nghĩ sao?
.S:",114731331886956,1,video
8,17,2018-03-22 08:42:09.792771,2017-05-28 09:07:55+00:00,591,114731331886956_1807011359325603,13808,544,"Mấy bác bên Đức không sang Việt Nam mà học hỏi. Riêng sữa chữa nắp cống có tới 5-6 ông làm, Thời gian dự kiến hoàn thành 4 ngày thì chậm tiến độ lên gần tháng.

Mà làm có phải bằng máy như các ông đâu, toàn xẻng với cuốc, đào bới lên đào bới xuống. Làm xong thì như kiểu dân đang đi trên rừng Trường Sơn, mấp mô trùng trùng. Thách các ông theo được đấy.

Đấy! Việt Nam là phải thế.

Video: st
[Sky]",114731331886956,25,video
9,1,2018-03-22 08:42:09.792771,2017-05-27 18:31:34+00:00,6,114731331886956_1806188146074591,2203,216,"""NỀN GIÁO DỤC KHÔNG THI CỬ"" tại Phần Lan

Liệu rằng Phần Lan có thật sự làm tốt trong cách giáo dục như clip trước chúng ta đã xem không?

 🎬 Video trước: https://goo.gl/KDgkF6
🎞 Youtube: https://goo.gl/IBMiSP
Học Viện CEO Việt Nam 
.S:",114731331886956,6,video
