angry,crawled_utctime,created_time,haha,id,like,love,message,owner_id,sad,type
0,2018-03-22 10:25:19.063976,2018-03-22 10:00:29+00:00,2,114731331886956_2172978299395572,20,0,"Hình thức để làm gì?

Quan chức nhà mình đi tới đâu cũng bày trò trồng cây. Rồi treo bảng ghi tên này nọ đồ.

Cụ nào trồng cũng khoái treo tên tuổi. Nhưng các cụ đi rồi thì một thời gian sau các cụ cũng rơi như lá cây.

Thấy cái trò này nó rẻ tiền và hình thức gì đâu á.

(Nhà báo Hữu Danh)

[K]",114731331886956,0,photo
31,2018-03-22 10:25:19.063976,2018-03-22 10:00:11+00:00,8,114731331886956_2172966046063464,121,0,"VN thật sự là thiên đường XHCN. Điều này hoàn toàn đúng. Đó là thiên đường của những người cs, dành riêng cho cs!

[K]

http://m.soha.vn/thuong-uy-ca-tong-chet-nguoi-vao-mung-1-tet-roi-do-loi-cho-nguoi-khac-bi-phat-109-trieu-dong-20180321155052259.htm",114731331886956,4,photo
1,2018-03-22 10:25:19.063976,2018-03-22 09:32:11+00:00,20,114731331886956_2172985429394859,180,1,"* Zing.vn GIẬT TÍT CHỈ ĐỂ CÂU LIKE CHỨ MARK KO NÓI FB KO XỨNG ĐÁNG
“Tôi sáng lập Facebook, và sau cuối tôi chịu trách nhiệm cho những gì xảy ra trên nền tảng này. Tôi nghiêm túc làm những gì cần để bảo vệ cộng đồng. Mặc dù vấn đề cụ thể liên quan đến Cambridge Analytica không còn xảy ra với các ứng dụng mới ngày hôm nay, điều đó không thay đổi những gì đã xảy ra trong quá khứ. Chúng tôi sẽ học hỏi từ kinh nghiệm này để bảo đảm nền tảng của chúng tôi xa hơn và làm cho cộng đồng của chúng tôi an toàn hơn.

Tôi muốn cảm ơn tất cả các bạn đã tiếp tục tin tưởng vào sứ mệnh và công việc của mình để cùng nhau xây dựng cộng đồng này. Tôi biết phải mất nhiều thời gian để khắc phục tất cả những vấn đề này, nhưng tôi hứa với bạn rằng chúng tôi sẽ làm việc và xây dựng một dịch vụ tốt hơn về lâu dài.”

.S: Mời các bạn vào link để đọc toàn văn thông báo của Mark:
https://news.zing.vn/mark-zuckerberg-chung-toi-khong-xung-de-phuc-vu-cac-ban-post828077.html",114731331886956,0,link
1,2018-03-22 10:25:19.063976,2018-03-22 09:01:52+00:00,0,114731331886956_2172962536063815,161,16,"Hôm nay ngày 6/2 âm lịch là ngày kỹ niệm Hai Bà Trưng khởi nghĩa đánh quân Hán.

Nhớ lại bài học Quốc sử trong sách Quốc sử lớp tư (lớp 2- VNCH) do Bộ Giáo dục VNCH xuất bản.

(Fb An Túc Nguyễn)

[K]",114731331886956,1,photo
1,2018-03-22 10:25:19.063976,2018-03-22 08:32:19+00:00,27,114731331886956_2172973832729352,244,3,"* Dân Nga vừa bầu Poutine (Putin) thêm 6 năm nữa. Sau 18 năm cầm vận mệnh nước Nga, nếu tính cả bốn năm làm Thủ tướng để lươn lẹo với hiến pháp. Sau Tập Cận Bình, Erdogan, những hoàng đế trọn đời, thế giới có thêm một ông vua toàn quyền.

Putin đắc cử vẻ vang với 76% phiếu bầu, với 3000 vụ gian lận. Thế hệ Internet, smartphone, người ta chứng kiến trực tiếp những chuyện nhét phiếu vào thùng.

Sự thực, khỏi cần gian lận, Putin chắc chắn đắc cử. Gian lận chỉ làm cho thắng lợi vẻ vang hơn. Nhiều khi cũng chỉ vì truyền thống. Phản ứng Pavlov, nhiều người thấy thùng phiếu là tự động nhét cho đầy. Các địa phương thi đua nhau để chứng tỏ mình hữu hiệu hơn các vùng lân cận.

Số phiếu bầu nhiều nhất từ 8 tới 9 giờ, trong phòng phiếu chỉ có nhân viên kiểm phiếu; trời lạnh, cử tri còn ngủ, hay còn trên đường mò tới phòng phiếu, rất gian nan ở những vùng quê.

PUTIN FOR EVER

Sự thực, Putin khỏi cần gian lận, khỏi cần tranh cử cũng vẫn đắc cử. Các hãng thăm dò cho hay một nửa dân Nga muốn Putin tiếp tục. Tỷ lệ phiếu bàu cho Putin sẽ cao hơn nhiều, vì số tham dự 67%, và những người chịu khó đội tuyết đi bầu hơn cả là fans của Putin.

Tại sao dân Nga bầu cho Putin, mặc dù kinh tế của Nga đang lúng túng, đời sống dân Nga khó khăn? Ra khỏi Moscou giàu có, Saint Péterbourg huy hoàng (địa danh viết theo chữ Pháp), Nga là một nước nghèo, bất công chồng chất, tham nhũng lộng hành trong mọi tầng lớp.
...
Từ Thức
.S: 
Mời các bạn vào link để xem các lý do mà dân Nga bầu cho Putin nhé:",114731331886956,2,link
46,2018-03-22 10:25:19.063976,2018-03-22 08:30:33+00:00,88,114731331886956_2172998469393555,448,2,"Có thể bạn chưa biết nhưng bây giờ thì bạn đã rõ. (Từng bước một, từng bước một đô hộ dân tộc Việt) 😄😄

Ảnh: Tạp Chí Mị Dân

[Sky]
https://nld.com.vn/thoi-su/nguoi-trung-quoc-duoc-lai-xe-vao-viet-nam-180-km-20180320230726761.htm",114731331886956,9,photo
0,2018-03-22 10:25:19.063976,2018-03-22 08:02:46+00:00,0,114731331886956_2172960889397313,72,3,"Các chế độ độc tài thường xem thanh niên là đối tượng chính của chính sách ngu dân và mị dân của họ. Mục tiêu của chế độ là làm sao để thanh niên không quan tâm đến chính trị hay xem nó là chuyện nguy hiểm mà chỉ lo giải trí, kiếm thu nhập cao hay kiếm một chỗ đứng vững vàng trong guồng máy độc tài. Họ được tuyên truyền để xem chuyện gia nhập đảng cầm quyền là một vinh dự.

Tuy nhiên, không phải tất cả thanh niên đều dễ bị lừa gạt, mua chuộc hay đe doạ. Bản chất của tuổi trẻ là tò mò, mạo hiểm và sẳn sàng thay đổi nhận thức nếu có thông tin đúng đắn. Họ cũng là thành phần giỏi về công nghệ thông tin và thích tiếp cận với những nguồn thông tin mà họ tin cậy – bất chấp sự cấm đoán của chế độ.

Những ai đứng ra lãnh đạo thanh niên tranh đấu cần phải biết cách thuyết phục họ về đường lối bất bạo động vì ‘máu nóng’ là bản chất của họ.

Các cuộc cách mạng trong lịch sử thành công phần lớn là nhờ sự dấn thân của giới trẻ. Nhà tù của những nước độc tài còn rất nhiều thanh niên yêu nước và khao khát tự do dân chủ - điều đó chứng tỏ độc tài rất sợ thanh niên khi họ không còn tin phục và sợ chế độ. - Robert L. Helvey 

Đọc tiếp tại: http://thongluan2016.blogspot.fr/2018/03/nhung-khai-niem-co-ban-va-chien-luoc-ve_21.html",114731331886956,2,link
0,2018-03-22 10:25:19.063976,2018-03-22 07:36:35+00:00,25,114731331886956_2172994332727302,121,5,"NGÂN HÀNG, NƠI THÁNH CÔ HUYỀN NHƯ HIỂN THÁNH 
----------//----------

Nhiều khách hàng đã từng hỏi tôi cách thức lưu giữ tiền nhàn rỗi an toàn ngoài két sắt trong nhà họ ? Thông thường, tôi đều khuyên họ nên gởi tiền vào ngân hàng và nếu chọn một ngân hàng Nhà nước là tốt nhất. Đương nhiên, bên cạnh những ưu điểm an toàn khi nhờ ngân hàng giữ tiền giúp cho mình, thì tôi vẫn phải nêu những khả năng rủi ro. Tỷ như giá trị đồng tiền mất giá khi lạm phát, đôi khi, tiền lãi ngân hàng cũng không đủ bù đắp phần mất giá ...

Tôi đã tin vào chính sự tư vấn của mình chỉ cho đến một ngày Thánh Cô Huyền Như hiển thánh, thì bản chất bất tín của một số lãnh đạo ngân hàng Việt Nam mới bắt đầu bộc lộ rõ một cách đáng sợ, làm lung lay uy tín ngân hàng Việt Nam đến tận gốc rễ.

Trước đó, tuy chẳng bao giờ đạt mức uy tín như ngân hàng ở các cường quốc ngân hàng như Thụy Sĩ, nơi uy tín đã là huyền thoại ... Nhưng suốt một thời gian khá dài, hệ thống ngân hàng Việt Nam vẫn được lầm tưởng là an toàn với công chúng khi họ tin cậy ký thác tiền gởi của mình.

Bạn cứ thử hình dung vào một ngày đẹp trời, xách va li đầy ắp tiền, bạn bước chân vào trụ sở ngân hàng XYZ, ký thác tiền nhàn rỗi của mình. Ở đấy, họ dành cho bạn nụ cười niềm nở nhất. Đương nhiên, bạn được ký hợp đồng với giám đốc ngân hàng. Khi ra về, cầm trong tay chứng từ tiền gởi ghi đúng với giá trị tiền mà bạn đã mang đến ... thì chẳng còn gì làm bạn phải ưu tư nữa, cứ kê chân cao, ăn no, ngủ kỹ chờ hạn thái lai.

Một ngày khác, cũng đẹp trời không kém ngày bạn tung tăng mang tiền đến ký thác cho ngân hàng, thì nơi đó, họ nhã nhặn báo cho biết về số tiền bạn gởi đã bị ma nữ Huỳnh Thị Huyền Như nào đó cuỗm sạch mất rồi ?!

Chẳng hề gì, bạn nghĩ vậy ! Mình giao dịch ngay tại trụ sở ngân hàng, ký hợp đồng với người có tư cách đại diện ngân hàng, cầm đầy đủ chứng từ tiền gởi ngân hàng trong tay với triện son đỏ chót, bạn vẫn cười vô tư lự “Mình chẳng gởi tiền ma nữ Huyền Như hay một tay cha căng chú kiết nào cả, mình gởi ngân hàng XYZ thì cứ XYZ hoàn trả tiền cho mình thôi nhỉ ?”.

Nhưng đời vốn chẳng là mơ, Huỳnh Thị Huyền Như không phải là một ma nữ bình thường ! Mà đích thị là Thánh Cô Bà Bà được bầy tôi Phủ Khai Phong phong thánh chứ chẳng phải chơi, hơn nữa, suy nghĩ của bạn chẳng phải của kẻ có quyền thế, nên nó cứ trôi tuồn tuột, kéo bạn đến tận đáy của sự khốn nạn.

Một, rồi vài vụ án được thăng đường, Thánh Cô Bà Bà Huyền Như được phong thánh với tội danh lừa đảo khách hàng, trong đó có bạn, cho nên Thánh Cô Bà Bà sẽ có trách nhiệm hoàn trả tiền cho bạn, đương nhiên, nếu bạn tìm ra tiền của Thánh Cô Bà Bà. Còn cái ngân hàng XYZ mà bạn đặt hết vào đấy sự tin cậy khi mang va li tiền đến ký thác cho nó, thì xin thưa : Nó vô can ! 

Bạn mong muốn công lý và cứ nghĩ rằng công lý không phải là từ phải viết hoa ! Bạn đúng và sai ! Đúng vì công lý không cần viết hoa, nhưng sai vì công lý ở xứ sở này chẳng có nhiều nhặng gì ngoài tên riêng của anh hề trên sân khấu !

Bây giờ, tôi đang phải tra lại danh sách các khách hàng mà mình đã “lỡ” khuyên họ gởi tiền ngân hàng để gởi cho họ một lời khuyên dại dột khác. Mong sao, danh sách ấy không quá dài …

fb Manh Dang

[Sky]",114731331886956,0,photo
4,2018-03-22 10:25:19.063976,2018-03-22 07:31:02+00:00,194,114731331886956_2172966839396718,336,4,"* “Các tổ ong đều nằm cao trên 30 m. Sau khi đoạn đường được phong tỏa, hai cảnh sát mặc đồ bảo hộ, cầm đuốc tẩm xăng dầu ngồi trong cabin đầu thang để được đưa lên cao đốt đàn ong. Các tổ ong khi cắt xuống đều có nhiều mật, được lính cứu hỏa bỏ vào thau.”

Chiến công của các anh đã được tưởng thưởng xứng đáng 😄

.S:",114731331886956,3,link
7,2018-03-22 10:25:19.063976,2018-03-22 06:40:39+00:00,16,114731331886956_2172951959398206,181,1,"* Chơi với dế
Sau thời gian dài cò kè bớt một thêm hai số tiền bồi thường cho những công dân vô tội bị Viện KSND huyện Cái Nước vu oan là “cướp” và giam oan, sáng nay TAND tỉnh Cà Mau đã buộc Viện này phải bồi thường cho một trong 3 nạn nhân số tiền 229 triệu đồng – tăng gần 100 triệu đồng so với số tiền mà Viện này “tự nguyện” đền vào năm 2016.

Điều lạ là, dù gây oan khốc cho 3 người vô tội, cho đến nay Viện KSND huyện Cái Nước vẫn nhất quyết không xin lỗi. Khi HĐXX hỏi vì sao đến nay không xin lỗi, nữ Kiểm sát viên tên Thùy đại diện bị đơn trả lời tỉnh rụi “do sơ xuất!”.

Chơi kiểu này vừa ác vừa bẩn.
Hổng ấy mấy anh chị chơi với dế đi.

Nhà báo Hữu Danh 
.S:",114731331886956,1,link
0,2018-03-22 10:25:19.063976,2018-03-22 05:03:00+00:00,10,114731331886956_2172464959446906,1163,126,"Sài Gòn 1973 - những năm trước khi bị ""giải phóng""

Ảnh : Nam Ròm st

[B]",114731331886956,40,photo
21,2018-03-22 10:25:19.063976,2018-03-22 04:04:53+00:00,17,114731331886956_2172453652781370,104,2,"Một thằng như thế này mà cũng là thày giáo và là hiệu trưởng một trường học sao?

Nó ăn chặn những đồng tiền của những học sinh nghèo và có điều kiện khó khăn do ảnh hưởng bởi sự cố Formosa từ năm 2016. Ăn trên nỗi khốn cùng của những đứa trẻ mà tương lai đang bị đe doạ.

Giáo dục hay là mầm mống của những đại hoạ?

(Ls Lê Luân) 

[K]",114731331886956,0,photo
127,2018-03-22 10:25:19.063976,2018-03-22 03:05:34+00:00,326,114731331886956_2172429632783772,1431,9,"Vụ ""bằng lái Quốc tế vô giá trị ở Việt Nam"", thay vì nhận trách nhiệm rằng: cấp dưới của chúng tôi thiếu kiến thức hay là thuộc hạ chúng tôi muốn làm khó để ""kiếm chút đỉnh phong bì""😁😁thì ông thượng tá Trần Văn Thương lại ngụy biện rằng: ""anh csgt đã nóng nảy do áp lực công việc và do thái độ của người vi phạm chưa đúng"" 😁😁😁

Tóm lại là vẫn đổ lỗi cho người vi phạm chứ csgt thì ko có lỗi gì. Có thể nói: ngụy biện để chối bỏ trách nhiệm chính là một trong những đặc tính điển hình của cộng sản 😊😊

(Fb Amy Truc Tran)

[K]

https://vietnammoi.vn/vu-bang-lai-quoc-te-vo-gia-tri-o-viet-nam-csgt-nong-nay-do-thai-do-cua-nguoi-vi-pham-khong-dung-88494.html",114731331886956,6,photo
27,2018-03-22 10:25:19.063976,2018-03-22 02:00:04+00:00,70,114731331886956_2172428019450600,215,1,"""Máy bán nước tự động tại đường bao biển Hạ Long. Một đêm khoắng sạch sẽ""

(fb Nguyễn Việt Anh)

Mion.",114731331886956,3,photo
47,2018-03-22 10:25:19.063976,2018-03-22 01:00:59+00:00,147,114731331886956_2172421969451205,482,0,"""Tôi làm sai tôi chịu trách nhiệm"" 

""Trách nhiệm"" mà ông tuất vàng kia nói tới ra là ...sợi dây kinh nghiệm :v :v :v 

----------

Ôi cái clip còn rành rành lan truyền khắp mạng xã hội như thế, vậy mà cũng ngụy biện được tài thật. Người tham gia giao thông đòi cảnh sát phải cho kiểm tra lại máy đo tốc độ, vậy mà bị cho là không hợp tác? Làm việc căng thẳng bức xúc quá thì được ""dí bùi"" vào mặt người dân để xả stress sao. 

À mà thôi, đồng chí ấy đã nói ""tôi làm sai, tôi chịu trách nhiệm"", và cuối cùng cũng được ""chấn chỉnh"" lại rồi. Chuyện không có gì mà ầm ĩ nữa nhá.

(Fb Dung Dinh)

Mion. 

https://tuoitre.vn/chan-chinh-thai-do-csgt-tuyen-bo-bang-lai-quoc-te-khong-gia-tri-20180321155842124.htm",114731331886956,3,photo
32,2018-03-22 10:25:19.063976,2018-03-22 00:32:00+00:00,50,114731331886956_2172446969448705,212,3,"* Trình đại học của CSGT đã láo thế này thì mấy ông sếp cao học với tiến sĩ của các anh ấy phải đểu cáng cỡ nào ???

.S:

https://www.facebook.com/dung.tranminh.165/posts/819410478250604",114731331886956,1,video
1,2018-03-22 10:25:19.063976,2018-03-22 00:01:40+00:00,89,114731331886956_2172419502784785,873,48,":v :v :v

Vào cái thời Hòn Ngọc Viễn Đông đu càng bọn Đế Quốc Mỹ, dân miền Nam chuyên ăn bơ thừa sữa cặn miết nên lái xe cũng phải mang theo cái tờ giấy lộn ""vô giá trị"" này đây. Bởi thế hệ sau này văn minh hơn nên có ai thèm xài nó đâu, có nhìn thấy đâu mà biết.

(Fb Dung Dinh)

Mion.",114731331886956,4,photo
0,2018-03-22 10:25:19.063976,2018-03-21 23:24:43+00:00,22,114731331886956_2172422169451185,117,4,"* Theo bạn thì, khi bị CSGT Việt Nam dừng xe, nếu anh tài xế quốc tịch Đức chỉ xuất trình giấy phép lái xe quốc tế mà không kèm theo giấy phép lái xe quốc gia Đức thì anh ấy có phạm luật không?
Bạn vui lòng trả lời xong hãy vào xem Trang mẫu số 2 mới - Phụ lục 7 - Công ước Vienna về Giao thông đường bộ https://docs.google.com/file/d/0BzFS2oW0MZYCWGNzS0NKR1FacFE/edit và Khoản 1 - Điều 11 - Thông tư 29/2015/TT-BGTVT của Bộ GTVT Việt Nam 😉
https://thuvienphapluat.vn/van-ban/Giao-thong-Van-tai/Thong-tu-29-2015-TT-BGTVT-quy-dinh-cap-su-dung-giay-phep-lai-xe-quoc-te-281819.aspx

.S:",114731331886956,0,status
63,2018-03-22 10:25:19.063976,2018-03-21 16:36:24+00:00,29,114731331886956_2172119522814783,232,1,"* Một thằng như thế này mà cũng là thày giáo và là hiệu trưởng một trường học sao?

Nó ăn chặn những đồng tiền của những học sinh nghèo và có điều kiện khó khăn do ảnh hưởng bởi sự cố Formosa từ năm 2016. Ăn trên nỗi khốn cùng của những đứa trẻ mà tương lai đang bị đe doạ.

Giáo dục hay là mầm mống của những đại hoạ?

Luật sư Lê Luân 
http://m.danviet.vn/giao-duc/hieu-truong-de-tien-ho-tro-hs-bi-anh-huong-formosa-cho-gv-nghi-mat-858690.html
.S:",114731331886956,5,photo
